Symbol,Date,Open,High,Low,Close,Volume,AdjustedClose
AAPL,2014-12-31,112.82,113.129997,110.209999,110.379997,41403400,105.710333
AAPL,2014-12-30,113.639999,113.919998,112.110001,112.519997,29881500,107.759799
AAPL,2014-12-29,113.790001,114.769997,113.699997,113.910004,27598900,109.091001
AAPL,2014-12-26,112.099998,114.519997,112.010002,113.989998,33721000,109.167611
AAPL,2014-12-24,112.580002,112.709999,112.010002,112.010002,14479600,107.27138
AAPL,2014-12-23,113.230003,113.330002,112.459999,112.540001,26028400,107.778957
AAPL,2014-12-22,112.160004,113.489998,111.970001,112.940002,45167500,108.162036
AAPL,2014-12-19,112.260002,113.239998,111.660004,111.779999,88429800,107.051107
AAPL,2014-12-18,111.870003,112.650002,110.660004,112.650002,59006200,107.884304
AAPL,2014-12-17,107.120003,109.839996,106.82,109.410004,53411800,104.781375
AAPL,2014-12-16,106.370003,110.160004,106.260002,106.75,60790700,102.233904
AAPL,2014-12-15,110.699997,111.599998,106.349998,108.230003,67218100,103.651295
AAPL,2014-12-12,110.459999,111.870003,109.580002,109.730003,56028100,105.087837
AAPL,2014-12-11,112.260002,113.800003,111.339996,111.620003,41401700,106.897879
AAPL,2014-12-10,114.410004,114.849998,111.540001,111.949997,44565300,107.213913
AAPL,2014-12-09,110.190002,114.300003,109.349998,114.120003,60208000,109.292116
AAPL,2014-12-08,114.099998,114.650002,111.620003,112.400002,57664900,107.64488
AAPL,2014-12-05,115.989998,116.080002,114.639999,115.0,38318900,110.134885
AAPL,2014-12-04,115.769997,117.199997,115.290001,115.489998,42044500,110.604153
AAPL,2014-12-03,115.75,116.349998,115.110001,115.93,43063400,111.025541
AAPL,2014-12-02,113.5,115.75,112.75,114.629997,59348900,109.780535
AAPL,2014-12-01,118.809998,119.25,111.269997,115.07,83814000,110.201923
AAPL,2014-11-28,119.269997,119.400002,118.050003,118.93,24814400,113.898625
AAPL,2014-11-26,117.940002,119.099998,117.830002,119.0,40768300,113.965663
AAPL,2014-11-25,119.07,119.75,117.449997,117.599998,68840400,112.624889
AAPL,2014-11-24,116.849998,118.769997,116.620003,118.629997,47450800,113.611314
AAPL,2014-11-21,117.510002,117.57,116.029999,116.470001,57179300,111.542697
AAPL,2014-11-20,114.910004,116.860001,114.849998,116.309998,43395500,111.389462
AAPL,2014-11-19,115.440002,115.739998,113.800003,114.669998,41869200,109.818844
AAPL,2014-11-18,113.940002,115.690002,113.889999,115.470001,44224000,110.585002
AAPL,2014-11-17,114.269997,117.279999,113.300003,113.989998,46746700,109.167611
AAPL,2014-11-14,113.150002,114.190002,111.209999,114.18,44063600,109.349575
AAPL,2014-11-13,111.800003,113.449997,111.599998,112.82,59522900,108.04711
AAPL,2014-11-12,109.379997,111.43,109.370003,111.25,46942400,106.54353
AAPL,2014-11-11,108.699997,109.75,108.400002,109.699997,27442300,105.0591
AAPL,2014-11-10,109.019997,109.330002,108.669998,108.830002,27195500,104.22591
AAPL,2014-11-07,108.75,109.32,108.550003,109.010002,33691500,104.398296
AAPL,2014-11-06,108.599998,108.790001,107.800003,108.699997,34968500,104.101405
AAPL,2014-11-05,109.099998,109.300003,108.129997,108.860001,37435900,103.804522
AAPL,2014-11-04,109.360001,109.489998,107.720001,108.599998,41574400,103.556595
AAPL,2014-11-03,108.220001,110.300003,108.010002,109.400002,52282600,104.319445
AAPL,2014-10-31,108.010002,108.040001,107.209999,108.0,44639300,102.98446
AAPL,2014-10-30,106.959999,107.349998,105.900002,106.980003,40654800,102.011832
AAPL,2014-10-29,106.650002,107.370003,106.360001,107.339996,52687900,102.355107
AAPL,2014-10-28,105.400002,106.739998,105.349998,106.739998,48060900,101.782973
AAPL,2014-10-27,104.849998,105.480003,104.699997,105.110001,34187700,100.228673
AAPL,2014-10-24,105.18,105.489998,104.529999,105.220001,47053900,100.333565
AAPL,2014-10-23,104.080002,105.050003,103.629997,104.830002,71074700,99.961677
AAPL,2014-10-22,102.839996,104.110001,102.599998,102.989998,68263100,98.207123
AAPL,2014-10-21,103.019997,103.019997,101.269997,102.470001,94623900,97.711275
AAPL,2014-10-20,98.32,99.959999,98.220001,99.760002,77517300,95.127129
AAPL,2014-10-17,97.5,99.0,96.809998,97.669998,68179700,93.134185
AAPL,2014-10-16,95.550003,97.720001,95.410004,96.260002,72154500,91.78967
AAPL,2014-10-15,97.970001,99.150002,95.18,97.540001,100933600,93.010225
AAPL,2014-10-14,100.389999,100.519997,98.57,98.75,63688600,94.164032
AAPL,2014-10-13,101.330002,101.779999,99.809998,99.809998,53583400,95.174803
AAPL,2014-10-10,100.690002,102.029999,100.300003,100.730003,66331600,96.052083
AAPL,2014-10-09,101.540001,102.379997,100.610001,101.019997,77376500,96.328609
AAPL,2014-10-08,98.760002,101.110001,98.309998,100.800003,57404700,96.118832
AAPL,2014-10-07,99.43,100.120003,98.730003,98.75,42094200,94.164032
AAPL,2014-10-06,99.949997,100.650002,99.419998,99.620003,37051200,94.993631
AAPL,2014-10-03,99.440002,100.209999,99.040001,99.620003,43469600,94.993631
AAPL,2014-10-02,99.269997,100.220001,98.040001,99.900002,47757800,95.260627
AAPL,2014-10-01,100.589996,100.690002,98.699997,99.18,51491300,94.574063
AAPL,2014-09-30,100.809998,101.540001,100.529999,100.75,55264100,96.071151
AAPL,2014-09-29,98.650002,100.440002,98.629997,100.110001,49766300,95.460874
AAPL,2014-09-26,98.529999,100.75,98.400002,100.75,62370500,96.071151
AAPL,2014-09-25,100.510002,100.709999,97.720001,97.870003,100092000,93.324902
AAPL,2014-09-24,102.160004,102.849998,101.199997,101.75,60171800,97.024711
AAPL,2014-09-23,100.599998,102.940002,100.540001,102.639999,63402200,97.873379
AAPL,2014-09-22,101.800003,102.139999,100.580002,101.059998,52788400,96.366753
AAPL,2014-09-19,102.290001,102.349998,100.5,100.959999,70902400,96.271398
AAPL,2014-09-18,101.93,102.349998,101.559998,101.790001,37299400,97.062855
AAPL,2014-09-17,101.269997,101.800003,100.589996,101.580002,60926500,96.862608
AAPL,2014-09-16,99.800003,101.260002,98.889999,100.860001,66908100,96.176044
AAPL,2014-09-15,102.809998,103.050003,101.440002,101.629997,61316500,96.910281
AAPL,2014-09-12,101.209999,102.190002,101.080002,101.660004,62626100,96.938894
AAPL,2014-09-11,100.410004,101.440002,99.620003,101.43,62353100,96.719572
AAPL,2014-09-10,98.010002,101.110001,97.760002,101.0,100869600,96.309541
AAPL,2014-09-09,99.080002,103.080002,96.139999,97.989998,189846300,93.439324
AAPL,2014-09-08,99.300003,99.309998,98.050003,98.360001,46356700,93.792144
AAPL,2014-09-05,98.800003,99.389999,98.309998,98.970001,58457000,94.373816
AAPL,2014-09-04,98.849998,100.089996,97.790001,98.120003,85718000,93.563292
AAPL,2014-09-03,103.099998,103.199997,98.580002,98.940002,125421000,94.345211
AAPL,2014-09-02,103.059998,103.739998,102.720001,103.300003,53564000,98.502732
AAPL,2014-08-29,102.860001,102.900002,102.199997,102.5,44595000,97.739881
AAPL,2014-08-28,101.589996,102.779999,101.559998,102.25,68460000,97.501491
AAPL,2014-08-27,101.019997,102.57,100.699997,102.129997,52369000,97.387061
AAPL,2014-08-26,101.419998,101.5,100.860001,100.889999,33152000,96.204649
AAPL,2014-08-25,101.790001,102.169998,101.279999,101.540001,40270000,96.824465
AAPL,2014-08-22,100.290001,101.470001,100.190002,101.32,44184000,96.61468
AAPL,2014-08-21,100.57,100.940002,100.110001,100.580002,33478000,95.909048
AAPL,2014-08-20,100.440002,101.089996,99.949997,100.57,52699000,95.89951
AAPL,2014-08-19,99.410004,100.68,99.32,100.529999,69399000,95.861367
AAPL,2014-08-18,98.489998,99.370003,97.980003,99.160004,47572000,94.554995
AAPL,2014-08-15,97.900002,98.190002,96.860001,97.980003,48951000,93.429794
AAPL,2014-08-14,97.330002,97.57,96.800003,97.5,28116000,92.972082
AAPL,2014-08-13,96.150002,97.239998,96.040001,97.239998,31916000,92.724154
AAPL,2014-08-12,96.040001,96.879997,95.610001,95.970001,33795000,91.513137
AAPL,2014-08-11,95.269997,96.080002,94.839996,95.989998,36585000,91.532205
AAPL,2014-08-08,94.260002,94.82,93.279999,94.739998,41865000,90.340255
AAPL,2014-08-07,94.93,95.949997,94.099998,94.480003,46711000,90.092335
AAPL,2014-08-06,94.75,95.480003,94.709999,94.959999,38558000,90.101865
AAPL,2014-08-05,95.360001,95.68,94.360001,95.120003,55933000,90.253683
AAPL,2014-08-04,96.370003,96.580002,95.169998,95.589996,39958000,90.699631
AAPL,2014-08-01,94.900002,96.620003,94.809998,96.129997,48511000,91.212006
AAPL,2014-07-31,97.160004,97.449997,95.330002,95.599998,56843000,90.709122
AAPL,2014-07-30,98.440002,98.699997,97.669998,98.150002,33010000,93.128667
AAPL,2014-07-29,99.330002,99.440002,98.25,98.379997,43143000,93.346896
AAPL,2014-07-28,97.82,99.239998,97.550003,99.019997,55318000,93.954154
AAPL,2014-07-25,96.849998,97.839996,96.639999,97.669998,43469000,92.673221
AAPL,2014-07-24,97.040001,97.32,96.419998,97.029999,45729000,92.065964
AAPL,2014-07-23,95.419998,97.879997,95.169998,97.190002,92918000,92.217781
AAPL,2014-07-22,94.68,94.889999,94.120003,94.720001,55197000,89.874145
AAPL,2014-07-21,94.989998,95.0,93.720001,93.940002,39079000,89.134051
AAPL,2014-07-18,93.620003,94.739998,93.019997,94.43,49988000,89.59898
AAPL,2014-07-17,95.029999,95.279999,92.57,93.089996,57298000,88.327531
AAPL,2014-07-16,96.970001,97.099998,94.739998,94.779999,53396300,89.931073
AAPL,2014-07-15,96.800003,96.849998,95.029999,95.32,45477900,90.443448
AAPL,2014-07-14,95.860001,96.889999,95.650002,96.449997,42810000,91.515634
AAPL,2014-07-11,95.360001,95.889999,94.860001,95.220001,34018000,90.348565
AAPL,2014-07-10,93.760002,95.550003,93.519997,95.040001,39686000,90.177774
AAPL,2014-07-09,95.440002,95.949997,94.760002,95.389999,36436000,90.509866
AAPL,2014-07-08,96.269997,96.800003,93.919998,95.349998,65222000,90.471912
AAPL,2014-07-07,94.139999,95.989998,94.099998,95.970001,56468000,91.060195
AAPL,2014-07-03,93.669998,94.099998,93.199997,94.029999,22891800,89.219443
AAPL,2014-07-02,93.870003,94.059998,93.089996,93.480003,28465000,88.697585
AAPL,2014-07-01,93.519997,94.07,93.129997,93.519997,38223000,88.735532
AAPL,2014-06-30,92.099998,93.730003,92.089996,92.93,49482300,88.17572
AAPL,2014-06-27,90.82,92.0,90.769997,91.980003,64029000,87.274325
