Time,Baseline,IndexFund,MovingAverage,MovingAverageWithSentiment,SelectionBySentiment,SelectionBySentiment(AllStocks),SelectionBySentiment(OneStock)
"2014-04-07T08:00:00Z",1380721.757456,1110739.735105,1186448.768828,1247649.175977,2489860.044586,2555590.827399,1969204.399112
"2014-04-08T08:00:00Z",1380017.270860,1099767.897025,1194959.998828,1248198.346329,2530869.364586,2597683.447399,1948409.599112
"2014-04-09T08:00:00Z",1398231.610541,1104028.117850,1200699.148828,1255946.655758,2534460.468815,2601368.300412,1938951.578641
"2014-04-10T08:00:00Z",1417164.082346,1115713.926180,1212147.598828,1270162.153642,2660891.986631,2731140.829764,1968760.027657
"2014-04-11T08:00:00Z",1383096.757209,1090944.073205,1178943.906688,1237876.171985,2563433.006631,2631103.409764,1896652.627657
"2014-04-14T08:00:00Z",1389887.990847,1083524.441055,1171944.076688,1238979.605180,2590220.358485,2655689.643696,1904866.835179
"2014-04-15T08:00:00Z",1384175.721945,1091420.029770,1170080.976688,1228475.287433,2539140.810037,2603319.165793,1879494.866879
"2014-04-16T08:00:00Z",1377857.606273,1100083.264875,1162858.146688,1228854.267433,2446478.520037,2508315.435793,1810906.916879
"2014-04-17T08:00:00Z",1380683.828262,1109436.647025,1162852.146688,1229528.187433,2470426.576246,2532863.582159,1834886.046071
"2014-04-21T08:00:00Z",1387776.723392,1111852.382130,1163116.545143,1229215.787433,2466468.801320,2539027.596673,1840413.776458
"2014-04-22T08:00:00Z",1395533.312889,1115886.426795,1150473.424580,1233011.953081,2532918.236321,2599444.644211,1848199.807232
"2014-04-23T08:00:00Z",1407604.250572,1119902.676795,1156368.687414,1239747.220156,2578125.155559,2591054.684608,1850823.415670
"2014-04-24T08:00:00Z",1413321.732606,1121479.441670,1164079.284157,1240756.838627,2622271.496395,2615976.080659,1987758.119168
"2014-04-25T08:00:00Z",1400260.241403,1118950.691670,1138811.530643,1230554.649664,2547079.318833,2540964.953067,1904676.648026
"2014-04-28T08:00:00Z",1398879.611878,1111382.308925,1132373.966030,1229839.073594,2534983.858833,2528886.473067,1895637.768026
"2014-04-29T08:00:00Z",1400329.653066,1114821.426180,1130054.287161,1233215.731040,2539258.850470,2523519.578725,1964928.135374
"2014-04-30T08:00:00Z",1406891.995998,1118581.794645,1138471.735931,1235139.818864,2563261.002608,2547372.750850,1961276.238683
"2014-05-01T08:00:00Z",1413309.650577,1122919.367850,1145992.932109,1242286.864310,2623413.402608,2607152.100850,2007303.438683
"2014-05-02T08:00:00Z",1413978.324932,1123460.838080,1147414.496924,1243873.018420,2628010.049496,2611714.337634,2022024.837455
"2014-05-05T08:00:00Z",1404436.234073,1119980.029770,1137543.215712,1235971.047418,2577152.229496,2571371.230940,1956482.977455
"2014-05-06T08:00:00Z",1420485.039233,1122502.823820,1150816.368948,1249042.849740,2615216.820496,2624456.458453,2022964.750845
"2014-05-07T08:00:00Z",1396426.619515,1113482.676180,1132087.629606,1229419.009730,2493981.170496,2544087.307001,1949638.210845
"2014-05-08T08:00:00Z",1354932.179640,1118754.367850,1107096.185999,1190095.658304,2463732.383801,2513231.860573,1926701.210845
"2014-05-09T08:00:00Z",1347559.809842,1117492.970825,1103342.699064,1180246.581754,2495193.002647,2545325.119797,1988083.350845
"2014-05-12T08:00:00Z",1358291.772378,1120325.176180,1105846.623873,1187941.940954,2542070.321797,2593144.680537,2023892.396975
"2014-05-13T08:00:00Z",1365658.489012,1130273.558925,1107142.301868,1189516.128744,2576198.127511,2627958.494961,2037171.849785
"2014-05-14T08:00:00Z",1365167.605914,1130499.661900,1093485.709303,1191192.734252,2629166.521523,2681991.500257,2034882.141021
"2014-05-15T08:00:00Z",1374881.319439,1125162.529155,1100340.734383,1197532.247010,2643479.927609,2696593.306063,2045962.200252
"2014-05-16T08:00:00Z",1359590.087251,1115065.323820,1093495.999026,1184965.704240,2603792.665487,2656108.885909,2002725.750252
"2014-05-19T08:00:00Z",1363174.094921,1118320.029155,1095101.493534,1189004.874555,2630800.993703,2683665.773901,2034080.271900
"2014-05-20T08:00:00Z",1380713.908228,1123210.911900,1109835.791799,1206769.050410,2703421.288057,2757739.547939,2067586.982304
"2014-05-21T08:00:00Z",1382035.865344,1116344.588695,1110041.722559,1207211.181639,2679580.271836,2759405.351485,2065249.331004
"2014-05-22T08:00:00Z",1389206.860183,1125180.323820,1116781.236501,1217525.197221,2737361.616377,2789146.714008,2074640.753929
"2014-05-23T08:00:00Z",1393223.751534,1128232.676795,1111597.307935,1212733.466573,2743437.229031,2795337.386900,2076851.760769
"2014-05-27T08:00:00Z",1402579.882853,1133403.264875,1118897.971719,1211806.329612,2797664.373674,2850590.531253,2136666.660769
"2014-05-28T08:00:00Z",1410564.767605,1139210.470825,1123529.525351,1219494.603476,2853931.011562,2907911.038917,2198027.640769
"2014-05-29T08:00:00Z",1415589.641301,1138514.294645,1121855.506817,1220575.304156,2857008.043139,2906048.982674,2197747.794759
"2014-05-30T08:00:00Z",1431051.449336,1144303.632745,1137443.646688,1229319.663141,2930093.632659,2980377.151329,2337445.754759
"2014-06-02T08:00:00Z",1438063.596649,1146409.955950,1138186.212270,1229730.468791,2947387.068491,3001325.697691,2324582.590514
"2014-06-03T08:00:00Z",1427936.931207,1145933.926795,1121207.491650,1215499.194118,2919087.490925,2976214.559707,2323153.254759
"2014-06-04T08:00:00Z",1446584.848477,1145928.044030,1152449.001219,1258933.560523,3034680.280720,3094069.631257,2351440.547684
"2014-06-05T08:00:00Z",1483443.061922,1149176.720825,1180664.433665,1288791.932288,3173114.225352,3235199.875006,2383747.379740
"2014-06-06T08:00:00Z",1462951.313523,1157441.279155,1169601.126336,1275511.424625,3108548.351986,3191026.885033,2397380.998180
"2014-06-09T08:00:00Z",1473687.401276,1161344.441670,1166142.901915,1271334.541158,3091978.741039,3161902.192913,2255069.848180
"2014-06-10T08:00:00Z",1479398.209810,1162159.588695,1168333.294693,1277157.890586,3087218.103241,3184259.487059,2196598.188180
"2014-06-11T08:00:00Z",1469366.024100,1161582.455950,1149484.351633,1253424.990886,3033147.679201,3164688.662815,2162859.128180
"2014-06-12T08:00:00Z",1480178.312536,1158000.544645,1148124.509377,1250933.855762,3287130.199201,3429687.182815,2343972.608180
"2014-06-13T08:00:00Z",1463084.405938,1150533.338080,1138916.061009,1231094.943984,3260801.420949,3402216.570301,2334690.530024
